person_id,vulnerability,mobility,group_size,distance_center_C1,distance_center_C2,distance_center_C3,distance_center_C4,distance_center_C5
P115,3.3,5.6,1,57.7,71.8,60.9,70.4,25.1
P116,6.9,3.6,1,25.4,7.3,53.0,4.8,54.8
P117,4.3,7.8,1,38.4,45.3,32.6,41.1,9.2
P118,5.5,7.3,1,32.2,21.3,36.6,12.3,44.4
P119,7.7,5.1,2,12.1,26.8,53.1,28.4,33.4
P120,8.3,3.9,1,28.0,38.9,43.2,37.0,17.3
P121,4.8,6.9,1,31.2,18.7,39.8,9.5,46.9
P122,8.4,6.0,2,26.1,42.3,56.8,43.4,26.9
P123,5.2,1.9,5,43.3,43.7,18.9,36.8,22.0
P124,2.9,5.3,3,23.5,41.6,79.2,47.8,53.9
P125,3.5,6.2,5,50.7,55.9,26.8,50.4,11.0
P126,1.3,3.3,1,51.6,50.7,11.2,43.1,26.2
P127,2.8,6.0,2,38.5,54.5,60.2,54.9,25.0
P128,4.1,1.9,2,21.7,37.5,81.0,44.9,59.0
P129,7.0,8.8,5,39.6,55.3,59.1,55.4,23.5
P130,9.3,8.6,5,54.6,70.3,66.8,70.1,30.1
P131,1.5,4.9,5,53.6,67.1,56.1,65.4,20.0
P132,6.0,6.4,4,51.6,56.9,27.1,51.4,11.2
P133,2.4,0.0,2,7.3,24.6,57.8,28.0,38.9
P134,6.2,2.6,2,32.2,40.2,36.5,36.8,13.8
P135,4.7,4.8,5,29.7,10.8,55.3,9.2,59.3
P136,0.4,2.8,1,54.2,67.5,55.7,65.7,19.7
P137,7.3,7.3,1,39.9,53.6,51.8,52.5,16.0
P138,3.5,10.0,5,14.3,28.1,51.5,29.1,31.1
P139,3.7,2.6,2,50.9,61.0,42.3,57.6,7.7
P140,2.3,3.4,1,29.4,47.8,68.2,50.7,36.9
P141,3.4,6.1,2,27.4,45.2,82.8,51.6,56.7
P142,6.1,9.5,1,26.0,42.1,84.5,49.4,61.0
P143,4.5,2.4,5,32.8,14.4,52.7,10.0,59.2
P144,5.8,6.1,5,29.2,11.2,63.2,15.3,64.5
P145,5.9,10.0,1,14.3,6.7,53.3,10.1,47.5
P146,8.3,1.4,2,21.3,39.8,75.9,45.6,50.6
P147,4.1,2.3,5,17.5,26.0,44.7,24.7,28.9
P148,1.3,4.4,3,6.1,16.4,64.4,23.6,51.1
P149,7.7,4.2,1,30.6,33.4,31.1,28.3,22.3
P150,4.2,7.5,2,41.2,56.9,59.7,57.0,23.8
